# 7777 Chain Airdrop Data for 96369 Mainnet (Excluding Treasury)
# Generated: 2025-07-21T05:05:20.541673
# Source Genesis: $HOME/work/lux/genesis/data/genesis-7777-evm.json
# Treasury Address Excluded: 0x9011e888251ab053b7bd1cdb598db4f9ded94714
# Treasury Balance: 1,994,739,905,397.28 LUX
# Remaining Accounts: 150
# Remaining Supply: 5,260,094,602.721317291259765625 LUX (5260094602721316935161711797 wei)
#
rank,address,balance_lux,balance_wei,balance_hex,percentage
120,0xc940f07de2ef614af51e33f1ce46a4ec82dbc364,1.377291060999999983,1377291061000000000,0x131d1eec3b39d200,0.0000000262
121,0xff78943191d4ad3d7fe1f772bacfa1892d2d0883,1.362799733999999985,1362799734000000000,0x12e9a3233d111c00,0.0000000259
122,0xa766cf69749349e7a11e49eab7c6c11f652704d3,1.224337399663980142,1224337399663980117,0x10fdb860d0326e55,0.0000000233
123,0x4e4f6ea7bbda013c409acbd9fb1eb47b58b6dd1f,1.051309763075428449,1051309763075428414,0xe9700a8d102d03e,0.0000000200
124,0xadde1b334b4a5f9679659889332a3bab274f7a31,1.000000000000000000,1000000000000000000,0xde0b6b3a7640000,0.0000000190
125,0x02ef9648c9d0e3837e976eb754e14a3b90a2abd1,1.000000000000000000,1000000000000000000,0xde0b6b3a7640000,0.0000000190
126,0x12c6ee1d226225756f57b75957d2bf3ab2e8597e,0.998684429500000026,998684429500000000,0xddc0a32870fa700,0.0000000190
127,0x5fc45f7a2791db9dc821f64338b96a9f62e832b2,0.997752449999910085,997752449999910098,0xdd8ba91240534d2,0.0000000190
128,0x8d5081153ae1cfb41f5c932fe0b6beb7e159cf84,0.978968110722626350,978968110722626299,0xd95fe4f560eb2fb,0.0000000186
129,0x6174ab510f6fea88d53f8f5a4ebac4198aa93f87,0.849119163888936268,849119163888936309,0xbc8ad617793a575,0.0000000161
130,0xecc368b7e0c1f0c4fac4eb2a3dc7b49b23bd3fd3,0.816640165058196255,816640165058196212,0xb5549e7439c32f4,0.0000000155
131,0xc25d00876b6bb80a64e3032c2872440ebfaf5b80,0.774717887660207105,774717887660207059,0xac059d06f20abd3,0.0000000147
132,0xd17d33c6fb37df09ecc57120363818c985e86e94,0.706215774000000018,706215774000000000,0x9ccfb81380c2c00,0.0000000134
133,0xb4440508f1a2af6001efadd7744e67fe52ebeb26,0.705564144500000046,705564144500000000,0x9caaad9e72cc500,0.0000000134
134,0x0028a38bf8ea13e90877612a4c349be55c0c8b1f,0.702989995000000034,702989995000000000,0x9c185ad04a0ee00,0.0000000134
135,0xb38abec154b77bd03e0366b8a9336eb408717974,0.700374878500000020,700374878500000000,0x9b83b3dc2999100,0.0000000133
136,0x920868c7a5f52d9c8c73697ad3b2f80f35ac66ff,0.700090286500000047,700090286500000000,0x9b738680588b100,0.0000000133
137,0x0c00244bd6c732cc2e9824805bb79a85ffaebf3f,0.700022539500000041,700022539500000000,0x9b6faca71aa1300,0.0000000133
138,0xf3a989966256fee32df6780a3e45479bc3f8f6b8,0.698934042999999949,698934043000000000,0x9b31ccf1a714e00,0.0000000133
139,0x187aa02e0b1e353f09939b9a82aab49eab3d92dc,0.698757209000000046,698757209000000000,0x9b27bfabab03a00,0.0000000133
140,0x8fb09acdb02308691f2e0afa5f7f6202aef1e815,0.698138282000000054,698138282000000000,0x9b049118eb62400,0.0000000133
141,0xc819896c3f9e9bd90af2405b043f2a9a0ccf62d9,0.697675656499999963,697675656500000000,0x9aea4502a1eb500,0.0000000133
142,0xdcf645c7c245f4b34260374828a013d81875e642,0.651759249982255429,651759249982255481,0x90b8395ae447179,0.0000000124
143,0xfd1c9095d0dd944dfbb3a1fc71cd3ad892656e18,0.460447899996916044,460447899996916045,0x663d6ecece4094d,0.0000000088
144,0x4b57e6e54259cade11f14753f55252e56975a555,0.458274345379112269,458274345379112281,0x65c1e16cdff2559,0.0000000087
145,0x5cbdb6242f84cd77997c27d2a5d0ad13d03ae00f,0.380579786165914313,380579786165914300,0x548174c931d0abc,0.0000000072
146,0x8c77cee59c3a49724b4aef4e8f241627de6ad4e1,0.090581124999623244,90581124999623245,0x141cf0da2f5324d,0.0000000017
147,0xd868e0f0cb9ee20fd61513f1650877fcd9a18f99,0.008060825000322434,8060825000322433,0x1ca34712bda581,0.0000000002
148,0x61868f146f9f80c73a8761529f89bcf8c86ad60f,0.008060825000322434,8060825000322433,0x1ca34712bda581,0.0000000002
149,0x02f2ce3f9f91185d95147b194b1e32a745a1410a,0.008060825000322434,8060825000322433,0x1ca34712bda581,0.0000000002
150,0x431164c9602f7db8c9f12d99400f2aec0ae75f2c,0.008060825000322434,8060825000322433,0x1ca34712bda581,0.0000000002
